api,method,path,is_authorized,authorization_type,specific_auth_type,authorizer_name
MS-Discounts-Public-PROD,GET,/admin/reward/all-cash-wallet,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/external/referral/coupon,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/admin/promotion/{promotionId}/route,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/referral/update,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/bo/gamification,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/b2c/campaigns/assign-referral-manual,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/customer/promotion/{promoCode},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,POST,/admin/reward/notification-mass-payment,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/b2c/campaigns/{campaignId}/missions/progress,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,PATCH,/customer/promotion,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/bo/gamification,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,GET,/bo/logs/{campaignId},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/admin/referral/program,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/iuse,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/bo/gamification/associate,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,POST,/b2c/campaigns/assignment,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/external/info/{customerId},NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/admin/reward/promo,YES,CUSTOM,CUSTOM (ADMIN),AdminLambda
MS-Discounts-Public-PROD,GET,/admin/referral/attribute,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/b2c/campaigns,YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (CUSTOMER),CustomerPROD
MS-Discounts-Public-PROD,GET,/bo/iterable/lists,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/admin/referral/revert,NO,NONE,NONE,
MS-Discounts-Public-PROD,DELETE,/admin/referral/campaign-attribute/{campaignAttributeId},NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/customer/referral/referrer,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/admin/promotion/revert/cron,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/admin/referral/logs/{customerId},NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/admin/referral,YES,CUSTOM,CUSTOM (ADMIN),AdminLambda
MS-Discounts-Public-PROD,POST,/customer/promotion/double-check,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/customer/rewards/all-cash-wallet,NO,NONE,NONE,
MS-Discounts-Public-PROD,GET,/bo/campaign-types/name/{name},YES,COGNITO_USER_POOLS,COGNITO_USER_POOLS (ADMIN),AdminProd
MS-Discounts-Public-PROD,GET,/customer/rewards/benefits,NO,NONE,NONE,
MS-Discounts-Public-PROD,POST,/customer/promotion/use,NO,NONE,NONE,
